panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach
Chorwacja,2017,285.0,132.0,0.02,0.01,7.0,16.0,0.01,0.02,417.0,0.03,23.0,0.03
Chorwacja,2018,461.0,230.0,0.03,0.01,130.0,5.0,0.09,0.0,691.0,0.04,135.0,0.09
Chorwacja,2019,725.0,352.0,0.04,0.02,240.0,116.0,0.16,0.08,1077.0,0.06,356.0,0.24
Chorwacja,2020,1314.0,553.0,0.08,0.03,533.0,142.0,1.48,0.39,1867.0,0.11,675.0,1.87
Chorwacja,2021,2977.0,1181.0,0.17,0.07,1351.0,399.0,3.01,0.89,4158.0,0.24000000000000002,1750.0,3.9
Chorwacja,2022,4801.0,2544.0,0.26,0.14,1305.0,770.0,3.04,1.79,7345.0,0.4,2075.0,4.83
Chorwacja,2023,7058.0,4534.0,0.37,0.24,1617.0,1014.0,2.87,1.8,11592.0,0.61,2631.0,4.67
Chorwacja,2024,9987.0,8146.0,0.5,0.41,1793.0,1405.0,2.76,2.16,18133.0,0.9099999999999999,3198.0,4.92
Chorwacja,2025,12605.0,13562.0,0.62,0.66,1293.0,2529.0,1.85,3.62,26167.0,1.28,3822.0,5.470000000000001
Cypr,2008,,,,,0.0,0.0,,,,,0.0,
Cypr,2009,,,,,0.0,0.0,,,,,0.0,
Cypr,2010,,,,,0.0,0.0,,,,,0.0,
Cypr,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Cypr,2012,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0
Cypr,2013,6.0,,0.0,,,,,,,,,
Cypr,2014,15.0,3.0,0.0,0.0,,,,,18.0,0.0,,
Cypr,2015,23.0,29.0,0.0,0.01,,20.0,,0.2,52.0,0.01,,
Cypr,2016,40.0,49.0,0.01,0.01,21.0,18.0,0.17,0.14,89.0,0.02,39.0,0.31000000000000005
Cypr,2017,87.0,104.0,0.02,0.02,49.0,50.0,0.37,0.38,191.0,0.04,99.0,0.75
Cypr,2018,114.0,158.0,0.02,0.03,37.0,49.0,0.28,0.37,272.0,0.05,86.0,0.65
Cypr,2019,167.0,242.0,0.03,0.04,63.0,88.0,0.5,0.7,409.0,0.07,151.0,1.2
Cypr,2020,240.0,320.0,0.04,0.06,42.0,78.0,0.42,0.78,560.0,0.1,120.0,1.2
Cypr,2021,333.0,468.0,0.06,0.08,80.0,122.0,0.75,1.15,801.0,0.14,202.0,1.9
Cypr,2022,830.0,662.0,0.14,0.11,361.0,197.0,3.1,1.69,1492.0,0.25,558.0,4.79
Cypr,2023,1449.0,1175.0,0.23,0.19,796.0,505.0,5.39,3.42,2624.0,0.42000000000000004,1301.0,8.809999999999999
Cypr,2024,2150.0,1440.0,0.33,0.22,1193.0,664.0,7.92,4.41,3590.0,0.55,1857.0,12.33
Cypr,2025,3569.0,2235.0,0.53,0.33,1474.0,773.0,10.07,5.28,5804.0,0.8600000000000001,2247.0,15.350000000000001
Czechy,2008,29.0,,,,0.0,0.0,,,,,0.0,
Czechy,2009,34.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0
Czechy,2010,38.0,,0.0,,4.0,0.0,0.0,0.0,,,4.0,0.0
Czechy,2011,72.0,,0.0,,56.0,0.0,0.03,0.0,,,56.0,0.03
Czechy,2012,145.0,13.0,0.0,0.0,92.0,16.0,0.05,0.01,158.0,0.0,108.0,0.060000000000000005
Czechy,2013,191.0,18.0,0.0,0.0,33.0,4.0,0.02,0.0,209.0,0.0,37.0,0.02
Czechy,2014,417.0,54.0,0.01,0.0,58.0,13.0,0.03,0.01,471.0,0.01,71.0,0.04
Czechy,2015,713.0,131.0,0.01,0.0,312.0,89.0,0.14,0.04,844.0,0.01,401.0,0.18000000000000002
Czechy,2016,974.0,260.0,0.02,0.0,210.0,129.0,0.08,0.05,1234.0,0.02,339.0,0.13
Czechy,2017,1525.0,432.0,0.03,0.01,376.0,241.0,0.14,0.09,1957.0,0.04,617.0,0.23
Czechy,2018,3405.0,699.0,0.06,0.01,731.0,243.0,0.28,0.09,4104.0,0.06999999999999999,974.0,0.37
Czechy,2019,4950.0,1218.0,0.08,0.02,778.0,482.0,0.31,0.19,6168.0,0.1,1260.0,0.5
Czechy,2020,8109.0,2816.0,0.13,0.05,3264.0,1975.0,1.61,0.97,10925.0,0.18,5239.0,2.58
Czechy,2021,9051.0,5796.0,0.15,0.1,2644.0,3779.0,1.28,1.83,14847.0,0.25,6423.0,3.1100000000000003
Czechy,2022,14195.0,9530.0,0.23,0.15,3930.0,3560.0,2.05,1.85,23725.0,0.38,7490.0,3.9
Czechy,2023,22441.0,15683.0,0.36,0.25,7504.0,5558.0,3.39,2.51,38124.0,0.61,13062.0,5.9
Czechy,2024,31713.0,23039.0,0.47,0.34,10876.0,5808.0,4.7,2.51,54752.0,0.81,16684.0,7.21
Czechy,2025,45549.0,35513.0,0.66,0.52,13803.0,11032.0,5.55,4.44,81062.0,1.1800000000000002,24835.0,9.99
Dania,2008,,,,,0.0,0.0,,,,,0.0,
Dania,2009,31.0,,,,31.0,0.0,0.02,0.0,,,31.0,0.02
Dania,2010,51.0,,,,20.0,0.0,0.01,0.0,,,20.0,0.01
Dania,2011,466.0,,,,415.0,0.0,0.24,0.0,,,415.0,0.24
Dania,2012,937.0,33.0,0.04,0.0,471.0,33.0,0.28,0.02,970.0,0.04,504.0,0.30000000000000004
Dania,2013,1434.0,44.0,0.06,0.0,497.0,7.0,0.28,0.0,1478.0,0.06,504.0,0.28
Dania,2014,2916.0,89.0,0.13,0.0,1569.0,21.0,0.83,0.01,3005.0,0.13,1590.0,0.84
Dania,2015,7887.0,552.0,0.33,0.02,4133.0,123.0,2.0,0.06,8439.0,0.35000000000000003,4256.0,2.06
Dania,2016,8662.0,1095.0,0.35,0.04,1219.0,157.0,0.55,0.07,9757.0,0.38999999999999996,1376.0,0.6200000000000001
Dania,2017,8764.0,1759.0,0.35,0.07,710.0,240.0,0.32,0.11,10523.0,0.42,950.0,0.43
Dania,2018,10037.0,5135.0,0.39,0.2,1502.0,3180.0,0.69,1.46,15172.0,0.5900000000000001,4682.0,2.15
Dania,2019,15504.0,9685.0,0.58,0.37,5487.0,3822.0,2.43,1.69,25189.0,0.95,9309.0,4.12
Dania,2020,31886.0,29025.0,1.17,1.07,14185.0,18337.0,7.16,9.25,60911.0,2.24,32522.0,16.41
Dania,2021,66610.0,77943.0,2.39,2.8,24832.0,40455.0,13.4,21.82,144553.0,5.1899999999999995,65287.0,35.22
Dania,2022,112674.0,105030.0,4.03,3.76,30718.0,26425.0,20.71,17.81,217704.0,7.79,57143.0,38.519999999999996
Dania,2023,200110.0,123066.0,7.0,4.3,62618.0,16665.0,36.24,9.64,323176.0,11.3,79283.0,45.88
Dania,2024,344439.0,127567.0,12.02,4.45,89568.0,7092.0,51.72,4.09,472006.0,16.47,96660.0,55.81
Dania,2025,540981.0,127850.0,18.56,4.39,126532.0,4690.0,68.53,2.54,668831.0,22.95,131222.0,71.07000000000001
Estonia,2008,,,,,0.0,0.0,,,,,0.0,
Estonia,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Estonia,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Estonia,2011,56.0,,0.01,,56.0,0.0,0.33,0.0,,,56.0,0.33
Estonia,2012,600.0,5.0,0.1,0.0,506.0,5.0,2.61,0.03,605.0,0.1,511.0,2.6399999999999997
Estonia,2013,708.0,10.0,0.11,0.0,116.0,5.0,0.59,0.03,718.0,0.11,121.0,0.62
Estonia,2014,1067.0,36.0,0.16,0.01,316.0,18.0,1.5,0.09,1103.0,0.17,334.0,1.59
Estonia,2015,1099.0,48.0,0.16,0.01,37.0,14.0,0.18,0.07,1147.0,0.17,51.0,0.25
Estonia,2016,1130.0,55.0,0.16,0.01,49.0,7.0,0.21,0.03,1185.0,0.17,56.0,0.24
Estonia,2017,1154.0,80.0,0.16,0.01,26.0,25.0,0.1,0.1,1234.0,0.17,51.0,0.2
Estonia,2018,1258.0,119.0,0.17,0.02,100.0,39.0,0.38,0.15,1377.0,0.19,139.0,0.53
Estonia,2019,1466.0,147.0,0.18,0.02,80.0,23.0,0.29,0.08,1613.0,0.19999999999999998,103.0,0.37
Estonia,2020,1769.0,256.0,0.22,0.03,360.0,68.0,1.92,0.36,2025.0,0.25,428.0,2.28
Estonia,2021,2260.0,420.0,0.27,0.05,503.0,164.0,2.25,0.73,2680.0,0.32,667.0,2.98
Estonia,2022,2989.0,644.0,0.35,0.08,712.0,424.0,3.3,1.97,3633.0,0.43,1136.0,5.27
Estonia,2023,4423.0,1173.0,0.5,0.13,1458.0,537.0,6.39,2.35,5596.0,0.63,1995.0,8.74
Estonia,2024,5743.0,2099.0,0.86,0.31,1320.0,1268.0,5.2,4.99,7842.0,1.17,2588.0,10.190000000000001
Estonia,2025,10084.0,8021.0,1.49,1.19,868.0,1403.0,6.65,10.75,18105.0,2.6799999999999997,2271.0,17.4
Finlandia,2008,7.0,,,,0.0,0.0,,,,,0.0,
Finlandia,2009,13.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Finlandia,2010,23.0,,,,13.0,0.0,0.01,0.0,,,13.0,0.01
Finlandia,2011,56.0,,,,29.0,0.0,0.02,0.0,,,29.0,0.02
Finlandia,2012,109.0,128.0,0.0,0.0,51.0,128.0,0.05,0.12,237.0,0.0,179.0,0.16999999999999998
Finlandia,2013,169.0,288.0,0.01,0.01,48.0,133.0,0.05,0.13,457.0,0.02,181.0,0.18
Finlandia,2014,386.0,566.0,0.01,0.02,183.0,242.0,0.17,0.23,952.0,0.03,425.0,0.4
Finlandia,2015,657.0,1017.0,0.02,0.03,236.0,410.0,0.22,0.38,1674.0,0.05,646.0,0.6
Finlandia,2016,889.0,2437.0,0.03,0.07,231.0,1195.0,0.19,1.0,3326.0,0.1,1426.0,1.19
Finlandia,2017,1538.0,5719.0,0.05,0.17,517.0,2522.0,0.44,2.13,7257.0,0.22000000000000003,3039.0,2.57
Finlandia,2018,2500.0,13095.0,0.07,0.38,807.0,4886.0,0.67,4.05,15595.0,0.45,5693.0,4.72
Finlandia,2019,4830.0,24703.0,0.14,0.7,1897.0,5983.0,1.66,5.24,29533.0,0.84,7880.0,6.9
Finlandia,2020,9959.0,45620.0,0.28,1.26,4244.0,13231.0,4.4,13.73,55579.0,1.54,17475.0,18.130000000000003
Finlandia,2021,23497.0,76990.0,0.65,2.11,10151.0,20163.0,10.31,20.48,100487.0,2.76,30314.0,30.79
Finlandia,2022,44889.0,104038.0,1.2,2.78,14529.0,16174.0,17.79,19.8,148927.0,3.9799999999999995,30703.0,37.59
Finlandia,2023,83762.0,135105.0,2.22,3.58,29671.0,18085.0,33.91,20.67,218867.0,5.800000000000001,47756.0,54.58
Finlandia,2024,118297.0,166848.0,3.13,4.41,21868.0,14863.0,29.53,20.07,285145.0,7.54,36731.0,49.6
Finlandia,2025,164705.0,187039.0,4.31,4.9,26721.0,14513.0,37.18,20.19,351744.0,9.21,41234.0,57.370000000000005
Francja,2008,2602.0,,,,0.0,0.0,,,,,0.0,
Francja,2009,2599.0,,0.01,,10.0,0.0,0.0,0.0,,,10.0,0.0
Francja,2010,2604.0,,0.01,,134.0,0.0,0.01,0.0,,,134.0,0.01
Francja,2011,5293.0,,0.02,,2630.0,0.0,0.12,0.0,,,2630.0,0.12
Francja,2012,7071.0,666.0,0.02,0.0,5663.0,668.0,0.3,0.04,7737.0,0.02,6331.0,0.33999999999999997
Francja,2013,16165.0,1466.0,0.04,0.0,8583.0,810.0,0.49,0.05,17631.0,0.04,9393.0,0.54
Francja,2014,25950.0,2985.0,0.07,0.01,11139.0,1011.0,0.63,0.06,28935.0,0.08,12150.0,0.69
Francja,2015,41901.0,8025.0,0.11,0.02,17741.0,5043.0,0.94,0.27,49926.0,0.13,22784.0,1.21
Francja,2016,61338.0,14492.0,0.16,0.04,23011.0,6457.0,1.16,0.33,75830.0,0.2,29468.0,1.49
Francja,2017,82481.0,25295.0,0.22,0.07,26509.0,10549.0,1.27,0.51,107776.0,0.29000000000000004,37058.0,1.78
Francja,2018,106489.0,38734.0,0.28,0.1,32209.0,13389.0,1.51,0.63,145223.0,0.38,45598.0,2.14
Francja,2019,141357.0,57294.0,0.37,0.15,42933.0,18549.0,1.98,0.85,198651.0,0.52,61482.0,2.83
Francja,2020,245106.0,132309.0,0.64,0.34,110909.0,74587.0,6.72,4.52,377415.0,0.98,185496.0,11.239999999999998
Francja,2021,470452.0,273600.0,1.21,0.71,162105.0,141439.0,9.77,8.53,744052.0,1.92,303544.0,18.299999999999997
Francja,2022,690093.0,411593.0,1.76,1.05,202868.0,126166.0,13.27,8.25,1101686.0,2.81,329034.0,21.52
Francja,2023,916082.0,574602.0,2.32,1.45,296902.0,161999.0,16.73,9.13,1490684.0,3.7699999999999996,458901.0,25.86
Francja,2024,1218319.0,721450.0,3.08,1.83,290748.0,146392.0,16.92,8.52,1939769.0,4.91,437140.0,25.44
Francja,2025,1543440.0,825313.0,3.88,2.08,327224.0,108619.0,20.05,6.65,2368753.0,5.96,435843.0,26.700000000000003
Grecja,2008,,,,,0.0,0.0,,,,,0.0,
Grecja,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Grecja,2010,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0
Grecja,2011,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0
Grecja,2012,2.0,,0.0,,1.0,1.0,0.0,0.0,,,2.0,0.0
Grecja,2013,3.0,,0.0,,3.0,,0.01,,,,,
Grecja,2014,45.0,17.0,0.0,0.0,44.0,,0.06,,62.0,0.0,,
Grecja,2015,84.0,40.0,0.0,0.0,43.0,8.0,0.06,0.01,124.0,0.0,51.0,0.06999999999999999
Grecja,2016,114.0,53.0,0.0,0.0,28.0,6.0,0.04,0.01,167.0,0.0,34.0,0.05
Grecja,2017,148.0,207.0,0.0,0.0,58.0,120.0,0.07,0.14,355.0,0.0,178.0,0.21000000000000002
Grecja,2018,215.0,366.0,0.0,0.01,108.0,155.0,0.1,0.15,581.0,0.01,263.0,0.25
Grecja,2019,426.0,570.0,0.01,0.01,190.0,289.0,0.17,0.25,996.0,0.02,479.0,0.42000000000000004
Grecja,2020,1104.0,2031.0,0.02,0.04,678.0,1461.0,0.84,1.81,3135.0,0.06,2139.0,2.65
Grecja,2021,3280.0,6823.0,0.06,0.12,2120.0,4811.0,2.1,4.76,10103.0,0.18,6931.0,6.859999999999999
Grecja,2022,6306.0,12269.0,0.11,0.22,2644.0,5322.0,2.51,5.05,18575.0,0.33,7966.0,7.56
Grecja,2023,12315.0,20643.0,0.21,0.36,6050.0,8754.0,4.5,6.51,32958.0,0.57,14804.0,11.01
Grecja,2024,17987.0,27290.0,0.3,0.45,8707.0,8344.0,5.92,5.67,45277.0,0.75,17051.0,11.59
Grecja,2025,30789.0,38323.0,0.5,0.62,8863.0,11670.0,6.15,8.09,69112.0,1.12,20533.0,14.24
Hiszpania,2008,,,,,0.0,0.0,,,,,0.0,
Hiszpania,2009,,,,,1.0,0.0,0.0,0.0,,,1.0,0.0
Hiszpania,2010,,,,,73.0,0.0,0.01,0.0,,,73.0,0.01
Hiszpania,2011,568.0,,0.0,,568.0,8.0,0.07,0.0,,,576.0,0.07
Hiszpania,2012,1023.0,109.0,0.0,0.0,443.0,109.0,0.06,0.02,1132.0,0.0,552.0,0.08
Hiszpania,2013,2021.0,190.0,0.01,0.0,936.0,73.0,0.13,0.01,2211.0,0.01,1009.0,0.14
Hiszpania,2014,2832.0,612.0,0.01,0.0,1085.0,306.0,0.12,0.03,3444.0,0.01,1391.0,0.15
Hiszpania,2015,5243.0,1368.0,0.02,0.01,1461.0,761.0,0.14,0.07,6611.0,0.03,2222.0,0.21000000000000002
Hiszpania,2016,5756.0,3131.0,0.03,0.01,2211.0,1507.0,0.19,0.13,8887.0,0.04,3718.0,0.32
Hiszpania,2017,9681.0,6583.0,0.04,0.03,4084.0,3316.0,0.32,0.26,16264.0,0.07,7400.0,0.5800000000000001
Hiszpania,2018,15865.0,12295.0,0.07,0.05,6135.0,5529.0,0.45,0.41,28160.0,0.12000000000000001,11664.0,0.86
Hiszpania,2019,26197.0,19722.0,0.11,0.08,10427.0,7425.0,0.8,0.57,45919.0,0.19,17852.0,1.37
Hiszpania,2020,43203.0,43481.0,0.17,0.18,18233.0,23759.0,2.14,2.79,86684.0,0.35,41992.0,4.93
Hiszpania,2021,66085.0,81355.0,0.27,0.33,24230.0,43069.0,2.82,5.01,147440.0,0.6000000000000001,67299.0,7.83
Hiszpania,2022,95617.0,121285.0,0.38,0.48,31412.0,47925.0,3.86,5.89,216902.0,0.86,79337.0,9.75
Hiszpania,2023,150282.0,180253.0,0.59,0.71,54845.0,62171.0,5.78,6.55,330535.0,1.2999999999999998,117016.0,12.33
Hiszpania,2024,181784.0,235506.0,0.68,0.88,58856.0,58485.0,5.79,5.75,417290.0,1.56,117341.0,11.54
Hiszpania,2025,281653.0,360453.0,1.05,1.35,105568.0,125827.0,9.19,10.96,642106.0,2.4000000000000004,231395.0,20.15
Holandia,2008,,,,,0.0,0.0,,,,,0.0,
Holandia,2009,,,,,28.0,2.0,0.01,0.0,,,30.0,0.01
Holandia,2010,,,,,86.0,0.0,0.02,0.0,,,86.0,0.02
Holandia,2011,,,,,849.0,15.0,0.15,0.0,,,864.0,0.15
Holandia,2012,2100.0,,0.03,,828.0,4326.0,0.16,0.86,,,5154.0,1.02
Holandia,2013,4161.0,24512.0,0.05,0.31,3118.0,19673.0,0.75,4.72,28673.0,0.36,22791.0,5.47
Holandia,2014,6825.0,36937.0,0.09,0.46,3238.0,11828.0,0.84,3.05,43762.0,0.55,15066.0,3.8899999999999997
Holandia,2015,9962.0,78163.0,0.12,0.96,3797.0,39150.0,0.85,8.72,88125.0,1.08,42947.0,9.57
Holandia,2016,13709.0,96156.0,0.17,1.17,4025.0,18775.0,1.05,4.91,109865.0,1.3399999999999999,22800.0,5.96
Holandia,2017,21842.0,97047.0,0.26,1.16,7961.0,1165.0,1.92,0.28,118889.0,1.42,9126.0,2.2
Holandia,2018,44581.0,94668.0,0.53,1.12,24033.0,2820.0,5.42,0.64,139249.0,1.6500000000000001,26853.0,6.06
Holandia,2019,106232.0,91887.0,1.22,1.06,61696.0,4931.0,13.86,1.11,198119.0,2.2800000000000002,66627.0,14.969999999999999
Holandia,2020,173797.0,98403.0,1.98,1.12,73129.0,15933.0,20.43,4.45,272200.0,3.1,89062.0,24.88
Holandia,2021,245091.0,138145.0,2.78,1.56,64419.0,31049.0,19.89,9.59,383236.0,4.34,95468.0,29.48
Holandia,2022,330113.0,186945.0,3.71,2.1,73126.0,34411.0,23.32,10.97,517058.0,5.8100000000000005,107537.0,34.29
Holandia,2023,444669.0,262332.0,4.98,2.94,113587.0,46920.0,30.52,12.61,707001.0,7.92,160507.0,43.129999999999995
Holandia,2024,557742.0,372538.0,6.03,4.03,132166.0,52576.0,34.45,13.71,930280.0,10.06,184742.0,48.160000000000004
Holandia,2025,680605.0,518145.0,7.23,5.5,156139.0,73445.0,40.2,18.91,1198750.0,12.73,229584.0,59.11
Irlandia,2008,,,,,0.0,0.0,,,,,0.0,
Irlandia,2009,,,,,2.0,0.0,0.0,0.0,,,2.0,0.0
Irlandia,2010,18.0,,0.0,,18.0,0.0,0.02,0.0,,,18.0,0.02
Irlandia,2011,64.0,,0.0,,46.0,0.0,0.05,0.0,,,46.0,0.05
Irlandia,2012,193.0,,0.01,,139.0,0.0,0.17,0.0,,,139.0,0.17
Irlandia,2013,280.0,1.0,0.01,0.0,167.0,7.0,0.22,0.01,281.0,0.01,174.0,0.23
Irlandia,2014,560.0,36.0,0.03,0.0,224.0,29.0,0.27,0.03,596.0,0.03,253.0,0.30000000000000004
Irlandia,2015,1120.0,135.0,0.05,0.01,489.0,83.0,0.38,0.06,1255.0,0.060000000000000005,572.0,0.44
Irlandia,2016,1700.0,416.0,0.08,0.02,420.0,253.0,0.28,0.17,2116.0,0.1,673.0,0.45000000000000007
Irlandia,2017,2770.0,739.0,0.13,0.03,627.0,303.0,0.47,0.23,3509.0,0.16,930.0,0.7
